"Shape","Possible?","Freeplay?","Simple Floating?","Multilayer Scaffolding?","Drop Through?"
"--Cu----:Cu------:CuCuCu--","true","false","true","false","false"
"--Cu----:Cu------:--CuCuCu","false","false","false","false","false"
"--Cu----:Cu------:Cu--CuCu","true","false","true","false","false"
"--Cu----:Cu------:CuCu--Cu","true","false","true","false","false"
"--Cu----:Cu------:CuCuCuCu","true","false","true","false","false"
"--Cu----:--Cu----:Cu------","true","false","true","false","false"
"--Cu----:--Cu----:--Cu----","true","true","false","false","false"
"--Cu----:--Cu----:----Cu--","true","false","true","false","false"
"--Cu----:--Cu----:------Cu","false","false","false","false","false"
"--Cu----:--Cu----:CuCu----","true","true","false","false","false"
"--Cu----:--Cu----:--CuCu--","true","true","false","false","false"
"--Cu----:--Cu----:----CuCu","false","false","false","false","false"
"--Cu----:--Cu----:Cu----Cu","false","false","false","false","false"
"--Cu----:--Cu----:Cu--Cu--","false","false","false","false","false"
"--Cu----:--Cu----:--Cu--Cu","true","true","false","false","false"
"--Cu----:--Cu----:CuCuCu--","true","true","false","false","false"
"--Cu----:--Cu----:--CuCuCu","true","true","false","false","false"
"--Cu----:--Cu----:Cu--CuCu","false","false","false","false","false"
"--Cu----:--Cu----:CuCu--Cu","true","true","false","false","false"
"--Cu----:--Cu----:CuCuCuCu","true","true","false","false","false"
"--Cu----:----Cu--:Cu------","false","false","false","false","false"
"--Cu----:----Cu--:--Cu----","true","false","false","true","false"
"--Cu----:----Cu--:----Cu--","true","false","true","false","false"
"--Cu----:----Cu--:------Cu","false","false","false","false","false"
"--Cu----:----Cu--:CuCu----","false","false","false","false","false"
"--Cu----:----Cu--:--CuCu--","true","false","true","false","false"
"--Cu----:----Cu--:----CuCu","true","false","true","false","false"
"--Cu----:----Cu--:Cu----Cu","false","false","false","false","false"
"--Cu----:----Cu--:Cu--Cu--","true","false","true","false","false"
"--Cu----:----Cu--:--Cu--Cu","false","false","false","false","false"
"--Cu----:----Cu--:CuCuCu--","true","false","true","false","false"
"--Cu----:----Cu--:--CuCuCu","true","false","true","false","false"
"--Cu----:----Cu--:Cu--CuCu","true","false","true","false","false"
"--Cu----:----Cu--:CuCu--Cu","false","false","false","false","false"
"--Cu----:----Cu--:CuCuCuCu","true","false","true","false","false"
"--Cu----:------Cu:Cu------","false","false","false","false","false"
"--Cu----:------Cu:--Cu----","false","false","false","false","false"
"--Cu----:------Cu:----Cu--","false","false","false","false","false"
"--Cu----:------Cu:------Cu","false","false","false","false","false"
"--Cu----:------Cu:CuCu----","false","false","false","false","false"
"--Cu----:------Cu:--CuCu--","false","false","false","false","false"
"--Cu----:------Cu:----CuCu","false","false","false","false","false"
"--Cu----:------Cu:Cu----Cu","false","false","false","false","false"
"--Cu----:------Cu:Cu--Cu--","false","false","false","false","false"
"--Cu----:------Cu:--Cu--Cu","false","false","false","false","false"
"--Cu----:------Cu:CuCuCu--","false","false","false","false","false"
"--Cu----:------Cu:--CuCuCu","false","false","false","false","false"
"--Cu----:------Cu:Cu--CuCu","false","false","false","false","false"
"--Cu----:------Cu:CuCu--Cu","false","false","false","false","false"
"--Cu----:------Cu:CuCuCuCu","false","false","false","false","false"
"--Cu----:CuCu----:Cu------","true","true","false","false","false"
"--Cu----:CuCu----:--Cu----","true","true","false","false","false"
"--Cu----:CuCu----:----Cu--","true","false","true","false","false"
"--Cu----:CuCu----:------Cu","true","false","true","false","false"
"--Cu----:CuCu----:CuCu----","true","true","false","false","false"
"--Cu----:CuCu----:--CuCu--","true","true","false","false","false"
"--Cu----:CuCu----:----CuCu","true","false","true","false","false"
"--Cu----:CuCu----:Cu----Cu","true","true","false","false","false"
"--Cu----:CuCu----:Cu--Cu--","true","true","false","false","false"
"--Cu----:CuCu----:--Cu--Cu","true","true","false","false","false"
"--Cu----:CuCu----:CuCuCu--","true","true","false","false","false"
"--Cu----:CuCu----:--CuCuCu","true","true","false","false","false"
"--Cu----:CuCu----:Cu--CuCu","true","true","false","false","false"
"--Cu----:CuCu----:CuCu--Cu","true","true","false","false","false"
"--Cu----:CuCu----:CuCuCuCu","true","true","false","false","false"
"--Cu----:--CuCu--:Cu------","true","false","true","false","false"
"--Cu----:--CuCu--:--Cu----","true","true","false","false","false"
"--Cu----:--CuCu--:----Cu--","true","true","false","false","false"
"--Cu----:--CuCu--:------Cu","true","false","true","false","false"
"--Cu----:--CuCu--:CuCu----","true","true","false","false","false"
"--Cu----:--CuCu--:--CuCu--","true","true","false","false","false"
"--Cu----:--CuCu--:----CuCu","true","true","false","false","false"
"--Cu----:--CuCu--:Cu----Cu","true","false","true","false","false"
"--Cu----:--CuCu--:Cu--Cu--","true","true","false","false","false"
"--Cu----:--CuCu--:--Cu--Cu","true","true","false","false","false"
"--Cu----:--CuCu--:CuCuCu--","true","true","false","false","false"
"--Cu----:--CuCu--:--CuCuCu","true","true","false","false","false"
"--Cu----:--CuCu--:Cu--CuCu","true","true","false","false","false"
"--Cu----:--CuCu--:CuCu--Cu","true","true","false","false","false"
"--Cu----:--CuCu--:CuCuCuCu","true","true","false","false","false"
"--Cu----:----CuCu:Cu------","false","false","false","false","false"
"--Cu----:----CuCu:--Cu----","false","false","false","false","false"
"--Cu----:----CuCu:----Cu--","true","false","false","false","true"
"--Cu----:----CuCu:------Cu","false","false","false","false","false"
"--Cu----:----CuCu:CuCu----","false","false","false","false","false"
"--Cu----:----CuCu:--CuCu--","true","false","false","false","true"
"--Cu----:----CuCu:----CuCu","true","false","false","false","true"
"--Cu----:----CuCu:Cu----Cu","false","false","false","false","false"
"--Cu----:----CuCu:Cu--Cu--","true","false","false","false","true"
"--Cu----:----CuCu:--Cu--Cu","false","false","false","false","false"
"--Cu----:----CuCu:CuCuCu--","true","false","false","false","true"
"--Cu----:----CuCu:--CuCuCu","true","false","false","false","true"
"--Cu----:----CuCu:Cu--CuCu","true","false","false","false","true"
"--Cu----:----CuCu:CuCu--Cu","false","false","false","false","false"
"--Cu----:----CuCu:CuCuCuCu","true","false","false","false","true"
"--Cu----:Cu----Cu:Cu------","true","false","false","false","true"
"--Cu----:Cu----Cu:--Cu----","false","false","false","false","false"
"--Cu----:Cu----Cu:----Cu--","false","false","false","false","false"
"--Cu----:Cu----Cu:------Cu","false","false","false","false","false"
"--Cu----:Cu----Cu:CuCu----","true","false","false","false","true"
"--Cu----:Cu----Cu:--CuCu--","false","false","false","false","false"
"--Cu----:Cu----Cu:----CuCu","false","false","false","false","false"
"--Cu----:Cu----Cu:Cu----Cu","true","false","false","false","true"
"--Cu----:Cu----Cu:Cu--Cu--","true","false","false","false","true"
"--Cu----:Cu----Cu:--Cu--Cu","false","false","false","false","false"
"--Cu----:Cu----Cu:CuCuCu--","true","false","false","false","true"
"--Cu----:Cu----Cu:--CuCuCu","false","false","false","false","false"
"--Cu----:Cu----Cu:Cu--CuCu","true","false","false","false","true"
"--Cu----:Cu----Cu:CuCu--Cu","true","false","false","false","true"
"--Cu----:Cu----Cu:CuCuCuCu","true","false","false","false","true"
"--Cu----:Cu--Cu--:Cu------","false","false","false","false","false"
"--Cu----:Cu--Cu--:--Cu----","false","false","false","false","false"
"--Cu----:Cu--Cu--:----Cu--","false","false","false","false","false"
"--Cu----:Cu--Cu--:------Cu","false","false","false","false","false"
"--Cu----:Cu--Cu--:CuCu----","true","false","false","false","true"
"--Cu----:Cu--Cu--:--CuCu--","true","false","false","false","true"
"--Cu----:Cu--Cu--:----CuCu","true","false","false","false","true"
"--Cu----:Cu--Cu--:Cu----Cu","true","false","false","false","true"
"--Cu----:Cu--Cu--:Cu--Cu--","true","false","false","false","true"
"--Cu----:Cu--Cu--:--Cu--Cu","false","false","false","false","false"
"--Cu----:Cu--Cu--:CuCuCu--","true","false","false","false","true"
"--Cu----:Cu--Cu--:--CuCuCu","true","false","false","false","true"
"--Cu----:Cu--Cu--:Cu--CuCu","true","false","false","false","true"
"--Cu----:Cu--Cu--:CuCu--Cu","true","false","false","false","true"
"--Cu----:Cu--Cu--:CuCuCuCu","true","false","false","false","true"
"--Cu----:--Cu--Cu:Cu------","true","false","true","false","false"
"--Cu----:--Cu--Cu:--Cu----","true","true","false","false","false"
"--Cu----:--Cu--Cu:----Cu--","true","false","true","false","false"
"--Cu----:--Cu--Cu:------Cu","true","true","false","false","false"
"--Cu----:--Cu--Cu:CuCu----","true","true","false","false","false"
"--Cu----:--Cu--Cu:--CuCu--","true","true","false","false","false"
"--Cu----:--Cu--Cu:----CuCu","true","true","false","false","false"
"--Cu----:--Cu--Cu:Cu----Cu","true","true","false","false","false"
"--Cu----:--Cu--Cu:Cu--Cu--","true","false","true","false","false"
"--Cu----:--Cu--Cu:--Cu--Cu","true","true","false","false","false"
"--Cu----:--Cu--Cu:CuCuCu--","true","true","false","false","false"
"--Cu----:--Cu--Cu:--CuCuCu","true","true","false","false","false"
"--Cu----:--Cu--Cu:Cu--CuCu","true","true","false","false","false"
"--Cu----:--Cu--Cu:CuCu--Cu","true","true","false","false","false"
"--Cu----:--Cu--Cu:CuCuCuCu","true","true","false","false","false"
"--Cu----:CuCuCu--:Cu------","true","true","false","false","false"
"--Cu----:CuCuCu--:--Cu----","true","true","false","false","false"
"--Cu----:CuCuCu--:----Cu--","true","true","false","false","false"
"--Cu----:CuCuCu--:------Cu","true","false","true","false","false"
"--Cu----:CuCuCu--:CuCu----","true","true","false","false","false"
"--Cu----:CuCuCu--:--CuCu--","true","true","false","false","false"
"--Cu----:CuCuCu--:----CuCu","true","true","false","false","false"
"--Cu----:CuCuCu--:Cu----Cu","true","true","false","false","false"
"--Cu----:CuCuCu--:Cu--Cu--","true","true","false","false","false"
"--Cu----:CuCuCu--:--Cu--Cu","true","true","false","false","false"
"--Cu----:CuCuCu--:CuCuCu--","true","true","false","false","false"
"--Cu----:CuCuCu--:--CuCuCu","true","true","false","false","false"
"--Cu----:CuCuCu--:Cu--CuCu","true","true","false","false","false"
"--Cu----:CuCuCu--:CuCu--Cu","true","true","false","false","false"
"--Cu----:CuCuCu--:CuCuCuCu","true","true","false","false","false"
"--Cu----:--CuCuCu:Cu------","true","false","true","false","false"
"--Cu----:--CuCuCu:--Cu----","true","true","false","false","false"
"--Cu----:--CuCuCu:----Cu--","true","true","false","false","false"
"--Cu----:--CuCuCu:------Cu","true","true","false","false","false"
"--Cu----:--CuCuCu:CuCu----","true","true","false","false","false"
"--Cu----:--CuCuCu:--CuCu--","true","true","false","false","false"
"--Cu----:--CuCuCu:----CuCu","true","true","false","false","false"
"--Cu----:--CuCuCu:Cu----Cu","true","true","false","false","false"
"--Cu----:--CuCuCu:Cu--Cu--","true","true","false","false","false"
"--Cu----:--CuCuCu:--Cu--Cu","true","true","false","false","false"
"--Cu----:--CuCuCu:CuCuCu--","true","true","false","false","false"
"--Cu----:--CuCuCu:--CuCuCu","true","true","false","false","false"
"--Cu----:--CuCuCu:Cu--CuCu","true","true","false","false","false"
"--Cu----:--CuCuCu:CuCu--Cu","true","true","false","false","false"
"--Cu----:--CuCuCu:CuCuCuCu","true","true","false","false","false"
"--Cu----:Cu--CuCu:Cu------","true","false","false","false","true"
"--Cu----:Cu--CuCu:--Cu----","false","false","false","false","false"
"--Cu----:Cu--CuCu:----Cu--","true","false","false","false","true"
"--Cu----:Cu--CuCu:------Cu","false","false","false","false","false"
"--Cu----:Cu--CuCu:CuCu----","true","false","false","false","true"
"--Cu----:Cu--CuCu:--CuCu--","true","false","false","false","true"
"--Cu----:Cu--CuCu:----CuCu","true","false","false","false","true"
"--Cu----:Cu--CuCu:Cu----Cu","true","false","false","false","true"
"--Cu----:Cu--CuCu:Cu--Cu--","true","false","false","false","true"
"--Cu----:Cu--CuCu:--Cu--Cu","false","false","false","false","false"
"--Cu----:Cu--CuCu:CuCuCu--","true","false","false","false","true"
"--Cu----:Cu--CuCu:--CuCuCu","true","false","false","false","true"
"--Cu----:Cu--CuCu:Cu--CuCu","true","false","false","false","true"
"--Cu----:Cu--CuCu:CuCu--Cu","true","false","false","false","true"
"--Cu----:Cu--CuCu:CuCuCuCu","true","false","false","false","true"
"--Cu----:CuCu--Cu:Cu------","true","true","false","false","false"
"--Cu----:CuCu--Cu:--Cu----","true","true","false","false","false"
"--Cu----:CuCu--Cu:----Cu--","true","false","true","false","false"
"--Cu----:CuCu--Cu:------Cu","true","true","false","false","false"
"--Cu----:CuCu--Cu:CuCu----","true","true","false","false","false"
"--Cu----:CuCu--Cu:--CuCu--","true","true","false","false","false"
"--Cu----:CuCu--Cu:----CuCu","true","true","false","false","false"
"--Cu----:CuCu--Cu:Cu----Cu","true","true","false","false","false"
"--Cu----:CuCu--Cu:Cu--Cu--","true","true","false","false","false"
"--Cu----:CuCu--Cu:--Cu--Cu","true","true","false","false","false"
"--Cu----:CuCu--Cu:CuCuCu--","true","true","false","false","false"
"--Cu----:CuCu--Cu:--CuCuCu","true","true","false","false","false"
"--Cu----:CuCu--Cu:Cu--CuCu","true","true","false","false","false"
"--Cu----:CuCu--Cu:CuCu--Cu","true","true","false","false","false"
"--Cu----:CuCu--Cu:CuCuCuCu","true","true","false","false","false"
"--Cu----:CuCuCuCu:Cu------","true","true","false","false","false"
"--Cu----:CuCuCuCu:--Cu----","true","true","false","false","false"
"--Cu----:CuCuCuCu:----Cu--","true","true","false","false","false"
"--Cu----:CuCuCuCu:------Cu","true","true","false","false","false"
"--Cu----:CuCuCuCu:CuCu----","true","true","false","false","false"
"--Cu----:CuCuCuCu:--CuCu--","true","true","false","false","false"
"--Cu----:CuCuCuCu:----CuCu","true","true","false","false","false"
"--Cu----:CuCuCuCu:Cu----Cu","true","true","false","false","false"
"--Cu----:CuCuCuCu:Cu--Cu--","true","true","false","false","false"
"--Cu----:CuCuCuCu:--Cu--Cu","true","true","false","false","false"
"--Cu----:CuCuCuCu:CuCuCu--","true","true","false","false","false"
"--Cu----:CuCuCuCu:--CuCuCu","true","true","false","false","false"
"--Cu----:CuCuCuCu:Cu--CuCu","true","true","false","false","false"
"--Cu----:CuCuCuCu:CuCu--Cu","true","true","false","false","false"
"--Cu----:CuCuCuCu:CuCuCuCu","true","true","false","false","false"
"----Cu--:Cu------:Cu------","false","false","false","false","false"
"----Cu--:Cu------:--Cu----","false","false","false","false","false"
"----Cu--:Cu------:----Cu--","false","false","false","false","false"
"----Cu--:Cu------:------Cu","false","false","false","false","false"
"----Cu--:Cu------:CuCu----","false","false","false","false","false"
"----Cu--:Cu------:--CuCu--","false","false","false","false","false"
"----Cu--:Cu------:----CuCu","false","false","false","false","false"
"----Cu--:Cu------:Cu----Cu","false","false","false","false","false"
"----Cu--:Cu------:Cu--Cu--","false","false","false","false","false"
"----Cu--:Cu------:--Cu--Cu","false","false","false","false","false"
"----Cu--:Cu------:CuCuCu--","false","false","false","false","false"
